STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-22,10,10,12.08,151,148,0,0,0,,50,33,,340,,,315,,,17,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-23,60,80,10.29,2352,2351,0.91,0,0,,51,35,,60,,,45,,,23,,,28.9,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-24,70,90,14.54,950,934,0.17,0,0,,60,47,,340,,,360,,,25.1,,,34.4,,1,,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-25,80,70,15.21,2250,2228,0.04,0,0,,50,38,,310,,,315,,,32,,,46.1,,1,,,,,,,1,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-26,10,0,20.8,750,36,0,0,0,,41,28,,320,,,315,,,31.1,,,42.5,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-27,70,90,9.62,2350,2341,0.01,0,0,,36,27,,70,,,90,,,15,,,18.3,,,,,1,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-28,100,100,18.57,1150,1140,1.62,0,0,,47,34,,70,,,90,,,29.1,,,38,,1,1,,1,,,,,,,,1,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-29,90,90,23.71,1751,927,0,0,0,,41,27,,290,,,270,,,29.1,,,39.1,,,,,,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-01,40,70,23.94,2051,1325,0,0,0,,31,22,,280,,,270,,,31.1,,,36.7,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-02,30,40,18.79,1551,1456,0,0,0,,38,26,,260,,,270,,,25.1,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-03,20,40,17.9,1051,1047,0,0,0,,36,26,,320,,,315,,,23,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-04,20,10,11.18,150,138,0,0,0,,39,24,,330,,,315,,,17.9,,,26.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-05,100,100,8.95,751,739,0.66,0.1,0,,44,33,,190,,,180,,,16.1,,,19.5,,1,,,,,,,1,,,,1,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-06,100,100,12.3,1251,1328,0.09,0,0,,46,38,,340,,,315,,,19.9,,,28.9,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-07,30,20,13.42,1651,913,0,0,0,,40,26,,320,,,360,,,17.9,,,26.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-08,60,60,12.53,1929,2348,0.11,1.9,0,,27,17,,90,,,45,,,19.9,,,27.5,,1,1,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-09,50,40,21.03,456,458,0.33,5,7,,30,16,,40,,,45,,0.2,34.9,,,44.7,,1,1,,,,,,,1,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-10,20,20,12.75,52,,0,0,6,,27,12,,340,,,,,0.1,17.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-11,50,50,19.46,2350,2149,0,0,3,,40,19,,330,,,90,,0.1,31.1,,,44.7,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-12,40,40,12.97,2350,53,0,0,1,,29,12,,330,,,68,,,31.1,,,39.1,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-13,100,100,15.21,2254,2244,2.3,1.4,1,,38,23,,40,,,45,,,23,,,31.1,,1,,,,,1,,1,,,,,1,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-14,60,60,16.55,53,106,0.05,0,0,,44,33,,350,,,360,,,25.1,,,34.4,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-15,10,10,12.75,1250,1245,0,0,0,,53,29,,350,,,315,,,19.9,,,23,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-16,80,90,7.61,2351,1321,0.06,0,0,,50,34,,350,,,135,,,16.1,,,19.5,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-17,100,100,19.24,1137,1245,0,0,0,,46,37,,350,,,360,,,25.1,,,34.4,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-18,100,100,11.41,151,11,0.01,0,0,,46,33,,20,,,45,,,19.9,,,20.8,,1,,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-19,90,90,14.09,2050,1109,0,0,0,,50,36,,10,,,360,,,19.9,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-20,70,80,11.41,251,1253,0,0,0,,53,39,,340,,,180,,,16.1,,,18.3,,1,,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-21,80,100,17.45,1451,1323,0.08,0,0,,50,40,,110,,,90,,,30,,,44.7,,1,1,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-22,60,50,14.32,2154,2115,0,0,0,,51,38,,270,,,270,,,21,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-23,70,90,21.7,1450,1029,0,0,0,,46,35,,290,,,270,,,28,,,35.6,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-24,50,40,12.3,2350,46,0,0,0,,49,33,,330,,,315,,,21.9,,,25.3,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-25,100,100,7.61,950,53,0.05,0,0,,45,37,,70,,,270,,,12.1,,,15,,1,,,1,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-26,30,20,14.09,850,1046,0,0,0,,51,36,,30,,,360,,,21,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-27,70,70,10.96,1451,1847,0,0,0,,47,33,,180,,,180,,,16.1,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-28,100,100,18.34,2151,2218,0.68,0.8,0,,43,33,,70,,,90,,,34.9,,,52.8,,1,,,1,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-29,100,100,30.42,750,633,1.5,1.7,2,,36,34,,60,,,45,,0.2,40.9,,,60.8,,1,,,1,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-30,100,100,17.67,451,149,0.05,0,0,,43,35,,340,,,360,,,28,,,31.1,,1,,,,,,,1,,,,1,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-03-31,50,60,14.32,1451,1430,0.02,0,0,,52,36,,340,,,360,,,17.9,,,27.5,,,,,,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-01,30,40,11.18,2051,1527,0,0,0,,56,37,,290,,,225,,,16.1,,,27.5,,,,,,,,,,,,,,,,,,,,,
